[16.06.2018 21:54:22] weights for intermediate layers: 1, giving same weights for different intermediate layers output as  1
[16.06.2018 21:54:23] =============================== train ===============================
[16.06.2018 21:54:25] Epoch: [0][0/2500]	Time 2.030	Data 0.145	Loss 2.4367	Prec@1 12.500	lr  0.0010
[16.06.2018 21:54:26] Epoch: [0][10/2500]	Time 0.093	Data 0.001	Loss 2.2263	Prec@1 6.250	lr  0.0010
[16.06.2018 21:54:27] Epoch: [0][20/2500]	Time 0.087	Data 0.000	Loss 2.2803	Prec@1 12.500	lr  0.0010
[16.06.2018 21:54:28] Epoch: [0][30/2500]	Time 0.088	Data 0.001	Loss 1.9745	Prec@1 43.750	lr  0.0010
[16.06.2018 21:54:29] Epoch: [0][40/2500]	Time 0.091	Data 0.001	Loss 1.8789	Prec@1 37.500	lr  0.0010
[16.06.2018 21:54:29] Epoch: [0][50/2500]	Time 0.084	Data 0.000	Loss 1.8436	Prec@1 43.750	lr  0.0010
[16.06.2018 21:54:30] Epoch: [0][60/2500]	Time 0.089	Data 0.001	Loss 1.5515	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:31] Epoch: [0][70/2500]	Time 0.089	Data 0.000	Loss 1.7711	Prec@1 18.750	lr  0.0010
[16.06.2018 21:54:32] Epoch: [0][80/2500]	Time 0.090	Data 0.000	Loss 1.4720	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:33] Epoch: [0][90/2500]	Time 0.086	Data 0.000	Loss 1.2468	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:34] Epoch: [0][100/2500]	Time 0.095	Data 0.001	Loss 1.0654	Prec@1 56.250	lr  0.0010
[16.06.2018 21:54:35] Epoch: [0][110/2500]	Time 0.085	Data 0.001	Loss 1.1986	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:36] Epoch: [0][120/2500]	Time 0.092	Data 0.001	Loss 0.9467	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:37] Epoch: [0][130/2500]	Time 0.092	Data 0.001	Loss 1.2254	Prec@1 56.250	lr  0.0010
[16.06.2018 21:54:37] Epoch: [0][140/2500]	Time 0.090	Data 0.001	Loss 1.5696	Prec@1 31.250	lr  0.0010
[16.06.2018 21:54:38] Epoch: [0][150/2500]	Time 0.090	Data 0.001	Loss 1.3559	Prec@1 43.750	lr  0.0010
[16.06.2018 21:54:39] Epoch: [0][160/2500]	Time 0.084	Data 0.001	Loss 1.0134	Prec@1 68.750	lr  0.0010
[16.06.2018 21:54:40] Epoch: [0][170/2500]	Time 0.089	Data 0.001	Loss 0.4876	Prec@1 87.500	lr  0.0010
[16.06.2018 21:54:41] Epoch: [0][180/2500]	Time 0.095	Data 0.001	Loss 1.3081	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:42] Epoch: [0][190/2500]	Time 0.090	Data 0.001	Loss 1.1753	Prec@1 43.750	lr  0.0010
[16.06.2018 21:54:43] Epoch: [0][200/2500]	Time 0.085	Data 0.000	Loss 0.9039	Prec@1 68.750	lr  0.0010
[16.06.2018 21:54:44] Epoch: [0][210/2500]	Time 0.088	Data 0.001	Loss 0.9434	Prec@1 75.000	lr  0.0010
[16.06.2018 21:54:45] Epoch: [0][220/2500]	Time 0.089	Data 0.001	Loss 1.2592	Prec@1 56.250	lr  0.0010
[16.06.2018 21:54:46] Epoch: [0][230/2500]	Time 0.089	Data 0.001	Loss 1.5591	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:46] Epoch: [0][240/2500]	Time 0.090	Data 0.000	Loss 1.1850	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:47] Epoch: [0][250/2500]	Time 0.090	Data 0.001	Loss 1.2428	Prec@1 56.250	lr  0.0010
[16.06.2018 21:54:48] Epoch: [0][260/2500]	Time 0.093	Data 0.001	Loss 1.3992	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:49] Epoch: [0][270/2500]	Time 0.087	Data 0.001	Loss 1.3120	Prec@1 56.250	lr  0.0010
[16.06.2018 21:54:50] Epoch: [0][280/2500]	Time 0.089	Data 0.000	Loss 1.2261	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:51] Epoch: [0][290/2500]	Time 0.086	Data 0.000	Loss 0.8195	Prec@1 68.750	lr  0.0010
[16.06.2018 21:54:52] Epoch: [0][300/2500]	Time 0.087	Data 0.000	Loss 1.7585	Prec@1 50.000	lr  0.0010
[16.06.2018 21:54:53] Epoch: [0][310/2500]	Time 0.093	Data 0.000	Loss 0.7530	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:54] Epoch: [0][320/2500]	Time 0.093	Data 0.000	Loss 1.7067	Prec@1 43.750	lr  0.0010
[16.06.2018 21:54:55] Epoch: [0][330/2500]	Time 0.091	Data 0.000	Loss 0.7663	Prec@1 68.750	lr  0.0010
[16.06.2018 21:54:55] Epoch: [0][340/2500]	Time 0.091	Data 0.001	Loss 1.0742	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:56] Epoch: [0][350/2500]	Time 0.090	Data 0.001	Loss 1.1019	Prec@1 75.000	lr  0.0010
[16.06.2018 21:54:57] Epoch: [0][360/2500]	Time 0.093	Data 0.001	Loss 0.9564	Prec@1 75.000	lr  0.0010
[16.06.2018 21:54:58] Epoch: [0][370/2500]	Time 0.091	Data 0.001	Loss 0.8269	Prec@1 62.500	lr  0.0010
[16.06.2018 21:54:59] Epoch: [0][380/2500]	Time 0.085	Data 0.001	Loss 0.5199	Prec@1 75.000	lr  0.0010
[16.06.2018 21:55:00] Epoch: [0][390/2500]	Time 0.089	Data 0.001	Loss 1.2319	Prec@1 56.250	lr  0.0010
[16.06.2018 21:55:01] Epoch: [0][400/2500]	Time 0.089	Data 0.000	Loss 0.8462	Prec@1 81.250	lr  0.0010
[16.06.2018 21:55:02] Epoch: [0][410/2500]	Time 0.088	Data 0.001	Loss 1.3531	Prec@1 50.000	lr  0.0010
[16.06.2018 21:55:03] Epoch: [0][420/2500]	Time 0.095	Data 0.001	Loss 0.9268	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:04] Epoch: [0][430/2500]	Time 0.096	Data 0.001	Loss 0.7199	Prec@1 75.000	lr  0.0010
[16.06.2018 21:55:05] Epoch: [0][440/2500]	Time 0.094	Data 0.001	Loss 0.9453	Prec@1 56.250	lr  0.0010
[16.06.2018 21:55:05] Epoch: [0][450/2500]	Time 0.087	Data 0.001	Loss 0.7931	Prec@1 81.250	lr  0.0010
[16.06.2018 21:55:06] Epoch: [0][460/2500]	Time 0.088	Data 0.000	Loss 1.0108	Prec@1 68.750	lr  0.0010
[16.06.2018 21:55:07] Epoch: [0][470/2500]	Time 0.092	Data 0.001	Loss 0.8950	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:08] Epoch: [0][480/2500]	Time 0.094	Data 0.000	Loss 0.8235	Prec@1 68.750	lr  0.0010
[16.06.2018 21:55:09] Epoch: [0][490/2500]	Time 0.091	Data 0.000	Loss 0.8344	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:10] Epoch: [0][500/2500]	Time 0.091	Data 0.001	Loss 0.9731	Prec@1 56.250	lr  0.0010
[16.06.2018 21:55:11] Epoch: [0][510/2500]	Time 0.095	Data 0.001	Loss 1.1625	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:12] Epoch: [0][520/2500]	Time 0.094	Data 0.001	Loss 0.8316	Prec@1 68.750	lr  0.0010
[16.06.2018 21:55:13] Epoch: [0][530/2500]	Time 0.089	Data 0.001	Loss 1.8177	Prec@1 43.750	lr  0.0010
[16.06.2018 21:55:14] Epoch: [0][540/2500]	Time 0.089	Data 0.000	Loss 0.8228	Prec@1 68.750	lr  0.0010
[16.06.2018 21:55:15] Epoch: [0][550/2500]	Time 0.093	Data 0.001	Loss 1.1109	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:16] Epoch: [0][560/2500]	Time 0.095	Data 0.001	Loss 0.8449	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:16] Epoch: [0][570/2500]	Time 0.087	Data 0.000	Loss 1.0167	Prec@1 56.250	lr  0.0010
[16.06.2018 21:55:17] Epoch: [0][580/2500]	Time 0.089	Data 0.001	Loss 0.7406	Prec@1 81.250	lr  0.0010
[16.06.2018 21:55:18] Epoch: [0][590/2500]	Time 0.091	Data 0.001	Loss 0.7832	Prec@1 81.250	lr  0.0010
[16.06.2018 21:55:19] Epoch: [0][600/2500]	Time 0.097	Data 0.001	Loss 0.8778	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:20] Epoch: [0][610/2500]	Time 0.092	Data 0.001	Loss 1.2454	Prec@1 50.000	lr  0.0010
[16.06.2018 21:55:21] Epoch: [0][620/2500]	Time 0.088	Data 0.001	Loss 0.8190	Prec@1 68.750	lr  0.0010
[16.06.2018 21:55:22] Epoch: [0][630/2500]	Time 0.089	Data 0.001	Loss 1.1877	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:23] Epoch: [0][640/2500]	Time 0.094	Data 0.001	Loss 0.9628	Prec@1 62.500	lr  0.0010
[16.06.2018 21:55:24] Epoch: [0][650/2500]	Time 0.088	Data 0.001	Loss 0.8246	Prec@1 75.000	lr  0.0010
[16.06.2018 21:55:25] Epoch: [0][660/2500]	Time 0.087	Data 0.001	Loss 1.0710	Prec@1 75.000	lr  0.0010
