program elapse,,test accuracy,,# of epoches,,dataset,,,,,
,,,,,,,,,,,
nontrainable,,,,,,,,,,,
197.415113,,3.29%,,10,,CIFAR-100,,,,,InceptionV3
220.0298574,,29.54%,,10,,CIFAR-100,,,,,InceptionV3
,,49.66%,,23,,CIFAR-100,,,,,InceptionV3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
all layers are trainable,,,,,,,,,,,
,,77.11%,,20,,CIFAR-100,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
other tests,,,,,,,,,,,
link,,,,,,,,,,,
https://zhuanlan.zhihu.com/p/22147033,,46.89%,,,,CIFAR-100,,without data augmentation,,,
,,49.97%,,,,CIFAR-100,,with data augmentation,,,"可以看到,采用了data augmentation后,performance提升了超过3%,可以看出这个trick对于深度学习的重要性."
https://github.com/titu1994/DenseNet/issues/12,,: 62.51%,,,,CIFAR-100,,,,,DenseNet
,,,,,,,,,,,DenseNet
